name,State,frequency,state_percentage
Aaliyah,WA,1824,0.03414
Aaliyah,WI,1370,0.02072
Aaliyah,WV,473,0.01523
Aaliyah,WY,60,0.01333
Aaliyha,CA,5,2e-05
Aaliyha,FL,10,9e-05
Aaliyha,NY,6,2e-05
Aaliyha,TX,6,2e-05
Aalliyah,GA,5,5e-05
Aalyah,CA,131,0.0004
Aalyah,NY,5,2e-05
Aalyah,PA,5,3e-05
Aalyah,TX,56,0.00022
Aalyiah,CA,34,0.0001
Aalyiah,FL,5,4e-05
Aalyiah,GA,9,0.0001
Aalyiah,NC,5,5e-05
Aalyiah,OH,5,3e-05
Aalyiah,TX,47,0.00019
Aamani,TX,5,2e-05
Aamina,CA,5,2e-05
Aamina,IL,5,3e-05
Aamina,NY,6,2e-05
Aamina,TX,5,2e-05
Aaminah,CA,11,3e-05
Aaminah,IL,7,4e-05
Aamir,CA,214,0.00065
Aamir,FL,143,0.00127
Aamir,GA,117,0.00126
Aamir,IL,77,0.00047
Aamir,IN,5,6e-05
Aamir,MA,17,0.00021
Aamir,MD,67,0.00134
Aamir,MI,31,0.00025
Aamir,MN,13,0.00021
Aamir,NC,68,0.00072
Aamir,NJ,83,0.00091
Aamir,NY,214,0.00083
Aamir,OH,63,0.00041
Aamir,PA,104,0.00058
Aamir,SC,6,0.00012
Aamir,TX,116,0.00046
Aamir,VA,50,0.00066
Aamira,CA,11,3e-05
Aamira,NJ,5,5e-05
Aamira,NY,18,7e-05
Aamira,TX,6,2e-05
Aamirah,VA,5,7e-05
Aamiyah,CA,16,5e-05
Aamiyah,TX,17,7e-05
Aamori,TX,5,2e-05
Aanav,CA,19,6e-05
Aanchal,CA,6,2e-05
Aanika,CA,27,8e-05
Aanika,NJ,10,0.00011
Aaniya,CA,5,2e-05
Aaniya,TX,6,2e-05
Aaniyah,AL,7,0.00011
Aaniyah,CA,121,0.00037
Aaniyah,FL,44,0.00039
Aaniyah,GA,64,0.00069
Aaniyah,IL,39,0.00024
Aaniyah,IN,5,6e-05
Aaniyah,MD,5,0.0001
Aaniyah,MI,18,0.00014
Aaniyah,MO,6,8e-05
Aaniyah,MS,5,0.00012
Aaniyah,NC,11,0.00012
Aaniyah,NY,34,0.00013
Aaniyah,OH,17,0.00011
Aaniyah,PA,11,6e-05
Aaniyah,TX,135,0.00054
Aaniyah,VA,12,0.00016
Aanshi,CA,5,2e-05
Aanvi,CA,60,0.00018
Aanvi,IL,6,4e-05
Aanvi,NC,10,0.00011
Aanvi,NJ,41,0.00045
Aanvi,NY,5,2e-05
Aanvi,PA,5,3e-05
Aanvi,TX,40,0.00016
Aanya,AZ,16,0.0004
Aanya,CA,644,0.00195
Aanya,CO,5,0.00013
Aanya,CT,25,0.00069
Aanya,FL,91,0.00081
Aanya,GA,122,0.00132
Aanya,IL,202,0.00123
Aanya,MA,108,0.00132
Aanya,MD,60,0.0012
Aanya,MI,57,0.00045
Aanya,MN,10,0.00016
Aanya,MO,5,7e-05
Aanya,NC,88,0.00093
Aanya,NJ,378,0.00412
Aanya,NY,155,0.0006
Aanya,OH,54,0.00035
Aanya,OR,5,0.00017
Aanya,PA,88,0.00049
Aanya,TN,17,0.00024
Aanya,TX,358,0.00142
Aanya,VA,141,0.00187
Aanya,WA,122,0.00228
Aanya,WI,5,8e-05
Aara,CA,5,2e-05
Aaradhya,CA,144,0.00043
Aaradhya,FL,5,4e-05
Aaradhya,GA,17,0.00018
Aaradhya,IL,62,0.00038
Aaradhya,MA,5,6e-05
Aaradhya,NC,12,0.00013
Aaradhya,NJ,70,0.00076
Aaradhya,NY,5,2e-05
Aaradhya,TX,118,0.00047
Aaradhya,VA,28,0.00037
Aaradhya,WA,11,0.00021
Aaralyn,AL,5,8e-05
Aaralyn,AZ,10,0.00025
Aaralyn,CA,154,0.00047
Aaralyn,CO,12,0.0003
Aaralyn,FL,57,0.00051
Aaralyn,GA,19,0.0002
